sekwencja,nowy_znak
MIMOMAC54cent,B.29.23.B.30
MIMOMAC54cent,A.242
MIMOMAC54cent,K.102.53
MIMOMAC54cent,B.24.11
MIMOMAC54cent,A.44
MIMOMAC54cent,A.18
MIMOMAC54cent,C.111
MIMOMAC54inf,A.38
MIMOMAC54inf,B.31.28
MIMOMAC54inf,B.24.11
MIMOMAC54inf,G
MIMOMAC54inf,A.1
MIMOMAC54inf,C.111
MIMOMAC54inf,A.19
MIMOMAC54inf,H.24.28
MIMOMAC54inf,B.24.11.7
MIMOMAC54inf,E.17
MIMOMAC54inf,B.29.30
MIMOMAC54sup,G
MIMOMAC54sup,A.1
MIMOMAC54sup,C.24.47
MIMOMAC54sup,A.19
MIMOMAC54sup,H.24.28
MIMOMAC54sup,B.24.11.7
MIMOMAC54sup,E.17
MIMOMAC54sup,B.29.23.B.30
MIMOMAC54sup,A.38
MIMOMAC54sup,B.31.28.R
MIMOMAC54sup,B.24.11
MKSL364,A.17.3
MKSL364,B.29.23.B.25
MKSL400,A.36
MKSL400,C.29
MKSL400,A.19.13
MKSL400,G
MKSL400,C.24.1
MKSL400,B.29.23
MKSL400,B.31.21
MKSL400,B.31.28
ML-400676,B.29.25
ML-400676,E.17
ML-400676,A.6
ML-400676,B.24.11
ML-400676,A.1
ML-400676,B.27.23.B.30
ML-400676,A.36
ML-400676,B.24.11
ML400678,E.17.3
ML400678,B.29.23.B.25
MLP-1451,B.27.30.B.114
MLP-1451,B.24.11
MLP-1451,B.27.30.B.114
MLP-1451,B.24.11
MLP-4275,A.250.47.48
MLP-4275,B.29.25.B.23
MLP-4275,E.17
MLP-4275,A.247.R
MLP-4275,B.29.25.B.23
MLP-4276,B.27.23
MLP-4276,B.24.11
MLP-4276,B.27.30.B.23
MLP-4276,B.24.11
MLP1446,G
MLP1446,B.24.11.7
MLP1446,B.29.23
MLP1446,B.24.11
MLP1446,C.27
MLP1446,B.24.5
MLP1446,C.29
MLP1446,A.4
MLP1447,G
MLP1447,B.24.11.7
MLP1447,B.29.23
MLP1447,B.24.11
MLP1447,C.27
MLP1447,B.24.5
MLP1447,C.29
MLP1447,A.4
MLP1454inf,B.31.25.B.28.30
MLP1454inf,B.29.25
MLP1454inf,C.24.1
MLP1454inf,A.2.17
MLP1454inf,B.27.30
MLP1454inf,E.17.3
MLP1454inf,H.24.28
MLP1454inf,B.27.30
MLP1454inf,A.2.17
MLP1454inf,C.24.1
MLP1454inf,B.29.25
MLP1454sup,B.29.25
MLP1454sup,C.24.1
MLP1454sup,A.2.17
MLP1454sup,B.27.30
MLP1454sup,E.17.3
MLP1454sup,H.24.28
MLP1454sup,B.27.30
MLP1454sup,A.2.17
MLP1454sup,C.24.1
